mandt,matnr,aline,cdate,ctime,dat00,delb0,extra,umdat,auskt,mng01,mng02,p_ingestday,p_ingesttime
1,741788607,0,10/22/21,7:18:05,10/22/21,SafeSt,,,,,,12/3/21,19
1,741788607,566,10/22/21,7:18:05,10/26/21,SchAgr,,,,,,12/3/21,19
1,741788607,321,10/22/21,7:18:05,10/25/21,SchAgr,,,,,,12/3/21,19
1,742065710,0,10/22/21,7:18:07,10/22/21,SafeSt,,,,,,12/3/21,19
1,742065710,2,10/22/21,7:18:07,10/22/21,SchAgr,,,,,,12/3/21,19
1,742065710,317,10/22/21,7:18:07,10/25/21,SchAgr,,,,,,12/3/21,19
1,742065710,3,10/22/21,7:18:07,10/22/21,SchAgr,,,,,,12/3/21,19
1,742065710,316,10/22/21,7:18:07,10/25/21,SchAgr,,,,,,12/3/21,19
1,742065710,465,10/22/21,7:18:07,10/26/21,SchAgr,,,,,,12/3/21,19
1,743093505,0,10/22/21,7:18:24,10/22/21,SafeSt,,,,,,12/3/21,19
1,743093505,218,10/22/21,7:18:24,10/25/21,SchAgr,,,,,,12/3/21,19
1,743093505,318,10/22/21,7:18:24,10/26/21,SchAgr,,,,,,12/3/21,19
1,743093505,543,10/22/21,7:18:24,10/27/21,SchAgr,,,,,,12/3/21,19
1,807165907,291,10/22/21,7:20:09,10/23/21,SchAgr,,,,,,12/3/21,19
1,807165907,0,10/22/21,7:20:09,10/22/21,SafeSt,,,,,,12/3/21,19
1,809198305,0,10/22/21,7:20:26,10/22/21,SafeSt,,,,,,12/3/21,19
1,741788607,0,10/23/21,7:17:48,10/23/21,SafeSt,,,,,,12/3/21,19
1,741788607,60,10/23/21,7:17:48,10/25/21,SchAgr,,,,,,12/3/21,19
1,741788607,295,10/23/21,7:17:48,10/26/21,SchAgr,,,,,,12/3/21,19
1,742065710,269,10/23/21,7:17:51,10/26/21,SchAgr,,,,,,12/3/21,19
1,742065710,0,10/23/21,7:17:51,10/23/21,SafeSt,,,,,,12/3/21,19
1,742065710,119,10/23/21,7:17:51,10/25/21,ShipNt,,,,,,12/3/21,19
1,743093505,0,10/23/21,7:18:09,10/23/21,SafeSt,,,,,,12/3/21,19
1,743093505,137,10/23/21,7:18:09,10/26/21,SchAgr,,,,,,12/3/21,19
1,743093505,45,10/23/21,7:18:09,10/25/21,SchAgr,,,,,,12/3/21,19
1,743093505,2,10/23/21,7:18:09,10/22/21,ShipNt,,,,,,12/3/21,19
1,807165907,0,10/23/21,7:19:51,10/23/21,SafeSt,,,,,,12/3/21,19
1,809198305,0,10/23/21,7:20:08,10/23/21,SafeSt,,,,,,12/3/21,19
1,741788607,0,10/25/21,4:03:20,10/25/21,SafeSt,,,,,,12/3/21,19
1,741788607,202,10/25/21,4:03:20,10/26/21,SchAgr,,,,,,12/3/21,19
1,741788607,562,10/25/21,4:03:20,10/27/21,SchAgr,,,,,,12/3/21,19
