"mandt","matnr","aline","cdate","ctime","dat00","delb0","extra","umdat","auskt","mng01","mng02","p_ingestday","p_ingesttime"
"001","000000000741788607","0000000147","2022-04-01","07:18:03","2022-04-02","SchAgr","F3KXYFG/00001*","2022-04-01","10","240.000","642.000","2022-04-04","14"
"001","000000000741788607","0000001522","2022-04-02","07:18:03","2022-04-13","SchAgr","F3KXYFG/00001","2022-04-12","30","160.000","740.000","2022-04-04","14"
"001","000000000741788607","0000000099","2022-04-02","07:18:03","2022-04-04","SchAgr","F3KXYFG/00001*","2022-04-02","10","80.000","549.000","2022-04-04","14"
"001","000000000741788607","0000000173","2022-03-29","07:18:02","2022-03-30","SchAgr","F3KXYFG/00001*","2022-03-29","10","240.000","791.000","2022-04-04","14"
"001","000000000741788607","0000000000","2021-12-07","07:17:44","2021-12-07","SafeSt","SafetyStock",,,"120.000-","950.000","2021-12-09","09"
"001","000000000741788607","0000001493","2021-12-07","07:17:44","2021-12-14","SchAgr","F3KXYFG/00001","2021-12-13","30","320.000","1,306.000","2021-12-09","09"
"001","000000000741788607","0000002879","2021-12-07","07:17:44","2021-12-23","SchAgr","F3KXYFG/00001","2021-12-22","30","160.000","622.000","2021-12-09","09"
"001","000000000741788607","0000002882","2021-12-07","07:17:44","2022-01-04","SchAgr","F3KXYFG/00001","2021-12-23","30","240.000","555.000","2021-12-09","09"
"001","000000000741788607","0000002891","2021-12-07","07:17:44","2022-01-07","SchAgr","F3KXYFG/00001","2022-01-06","30","240.000","710.000","2021-12-09","09"
"001","000000000741788607","0000002900","2021-12-07","07:17:44","2022-01-11","SchAgr","F3KXYFG/00001","2022-01-10","30","240.000","698.000","2021-12-09","09"
"001","000000000741788607","0000002915","2021-12-07","07:17:44","2022-01-18","SchAgr","F3KXYFG/00001","2022-01-15","30","240.000","644.000","2021-12-09","09"
"001","000000000741788607","0000002927","2021-12-07","07:17:44","2022-01-22","SchAgr","F3KXYFG/00001","2022-01-21","30","240.000","714.000","2021-12-09","09"
"001","000000000741788607","0000000000","2021-12-06","04:02:53","2021-12-06","SafeSt","SafetyStock",,,"120.000-","1,169.000","2021-12-08","09"
"001","000000000741788607","0000000358","2021-12-06","04:02:53","2021-12-07","SchAgr","F3KXYFG/00001*","2021-12-06","10","240.000","1,053.000","2021-12-08","09"
"001","000000000741788607","0000000931","2022-04-02","07:18:03","2022-04-09","SchAgr","F3KXYFG/00001","2022-04-08","30","240.000","847.000","2022-04-04","14"
"001","000000000741788607","0000000000","2021-12-18","07:17:52","2021-12-18","SafeSt","SafetyStock",,,"120.000-","1,033.000","2021-12-20","09"
"001","000000000741788607","0000000000","2021-12-10","07:18:12","2021-12-10","SafeSt","SafetyStock",,,"120.000-","867.000","2021-12-12","09"
"001","000000000741788607","0000000000","2021-12-15","07:17:38","2021-12-15","SafeSt","SafetyStock",,,"120.000-","672.000","2021-12-17","09"
"001","000000000741788607","0000000004","2021-12-15","07:17:38","2021-12-14","ShipNt","0185535279/F3KXYFG","2021-12-15","15","320.000","991.000","2021-12-17","09"
"001","000000000741788607","0000000000","2021-12-14","07:17:35","2021-12-14","SafeSt","SafetyStock",,,"120.000-","788.000","2021-12-16","09"
"001","000000000741788607","0000000004","2021-12-14","07:17:35","2021-12-13","ShipNt","0185532485/F3KXYFG",,"07","320.000","1,107.000","2021-12-16","09"
"001","000000000741788607","0000000000","2021-12-13","04:03:03","2021-12-13","SafeSt","SafetyStock",,,"120.000-","1,238.000","2021-12-15","09"
"001","000000000741788607","0000000288","2021-12-13","04:03:03","2021-12-14","SchAgr","F3KXYFG/00001*","2021-12-13","10","320.000","1,273.000","2021-12-15","09"
"001","000000000741788607","0000000002","2022-03-08","07:17:38","2022-03-07","ShipNt","0185719895/F3KXYFG","2022-03-08","15","160.000","719.000","2022-03-10","09"
"001","000000000741788607","0000000000","2022-02-22","07:18:05","2022-02-22","SafeSt","SafetyStock",,,"120.000-","455.000","2022-02-24","09"
"001","000000000741788607","0000000117","2022-02-22","07:18:05","2022-02-23","SchAgr","F3KXYFG/00001*","2022-02-22","10","240.000","742.000","2022-02-24","09"
"001","000000000741788607","0000000000","2022-02-21","04:03:01","2022-02-21","SafeSt","SafetyStock",,,"120.000-","667.000","2022-02-23","09"
"001","000000000741788607","0000000000","2022-02-03","07:17:49","2022-02-03","SafeSt","SafetyStock",,,"120.000-","671.000","2022-02-05","09"
"001","000000000741788607","0000001570","2022-02-03","07:17:49","2022-02-18","SchAgr","F3KXYFG/00001","2022-02-17","30","240.000","773.000","2022-02-05","09"
"001","000000000741788607","0000001625","2022-02-03","07:17:49","2022-03-08","SchAgr","F3KXYFG/00001","2022-03-07","30","240.000","707.000","2022-02-05","09"
"001","000000000741788607","0000000000","2022-01-22","07:17:37","2022-01-22","SafeSt","SafetyStock",,,"120.000-","531.000","2022-01-24","09"
"001","000000000741788607","0000000000","2022-01-08","07:17:44","2022-01-08","SafeSt","SafetyStock",,,"120.000-","677.000","2022-01-10","09"
"001","000000000741788607","0000000000","2022-01-10","04:02:57","2022-01-10","SafeSt","SafetyStock",,,"120.000-","655.000","2022-01-12","09"
"001","000000000741788607","0000000000","2021-12-30","07:17:44","2021-12-30","SafeSt","SafetyStock",,,"120.000-","417.000","2022-01-01","09"
"001","000000000741788607","0000000044","2021-12-30","07:17:44","2022-01-03","ShipNt","0185558487/F3KXYFG","2022-01-05","15","80.000","456.000","2022-01-01","09"
"001","000000000741788607","0000000000","2021-12-31","07:17:45","2021-12-31","SafeSt","SafetyStock",,,"120.000-","417.000","2022-01-02","09"
"001","000000000741788607","0000000044","2021-12-31","07:17:45","2022-01-03","ShipNt","0185558487/F3KXYFG","2022-01-05","15","80.000","456.000","2022-01-02","09"
"001","000000000741788607","0000000000","2022-01-01","07:17:48","2022-01-01","SafeSt","SafetyStock",,,"120.000-","417.000","2022-01-03","09"
"001","000000000741788607","0000000044","2022-01-01","07:17:48","2022-01-03","ShipNt","0185558487/F3KXYFG","2022-01-05","15","80.000","456.000","2022-01-03","09"
"001","000000000741788607","0000000000","2022-01-06","07:17:45","2022-01-06","SafeSt","SafetyStock",,,"120.000-","602.000","2022-01-08","09"
"001","000000000741788607","0000000000","2021-12-28","07:17:33","2021-12-28","SafeSt","SafetyStock",,,"120.000-","417.000","2021-12-30","09"
"001","000000000741788607","0000000044","2021-12-28","07:17:33","2022-01-03","ShipNt","0185558487/F3KXYFG","2022-01-05","15","80.000","456.000","2021-12-30","09"
"001","000000000741788607","0000000000","2021-12-27","04:03:04","2021-12-27","SafeSt","SafetyStock",,,"120.000-","417.000","2021-12-29","09"
"001","000000000741788607","0000000044","2021-12-27","04:03:04","2022-01-03","ShipNt","0185558487/F3KXYFG","2022-01-05","15","80.000","456.000","2021-12-29","09"
"001","000000000741788607","0000000000","2021-12-22","07:17:53","2021-12-22","SafeSt","SafetyStock",,,"120.000-","630.000","2021-12-24","09"
"001","000000000741788607","0000000000","2021-12-21","07:17:58","2021-12-21","SafeSt","SafetyStock",,,"120.000-","724.000","2021-12-23","09"
"001","000000000741788607","0000001679","2021-12-21","07:17:58","2022-01-28","SchAgr","F3KXYFG/00001","2022-01-27","30","240.000","687.000","2021-12-23","09"
"001","000000000741788607","0000000285","2021-11-12","07:17:37","2021-11-15","SchAgr","F3KXYFG/00001*","2021-11-13","10","320.000","1,049.000","2021-12-03","19"
"001","000000000741788607","0000000000","2021-11-08","04:03:12","2021-11-08","SafeSt","SafetyStock",,,"120.000-","991.000","2021-12-03","19"
"001","000000000741788607","0000000132","2021-11-29","04:02:58","2021-11-30","SchAgr","F3KXYFG/00001*","2021-11-29","10","80.000","710.000","2021-12-03","19"
