mandt,matnr,aline,cdate,ctime,dat00,delb0,extra,umdat,auskt,mng01,mng02,p_ingestday,p_ingesttime
1,743093505,0,12/07/21,7:18:03,12/7/21,SafeSt,SafetyStock,,,60.000-,132,12/9/21,9
1,743093505,0,12/06/21,4:03:12,12/6/21,SafeSt,SafetyStock,,,60.000-,206,12/8/21,9
1,743093505,204,12/06/21,4:03:12,12/9/21,SchAgr,0007065187/00001*,12/8/21,10,120,246,12/8/21,9
1,743093505,0,12/18/21,7:18:12,12/18/21,SafeSt,SafetyStock,,,60.000-,205,12/20/21,9
1,743093505,331,12/18/21,7:18:12,12/22/21,SchAgr,0007065187/00001*,12/21/21,10,60,239,12/20/21,9
1,743093505,0,12/10/21,7:18:29,12/10/21,SafeSt,SafetyStock,,,60.000-,200,12/12/21,9
1,743093505,0,12/15/21,7:17:56,12/15/21,SafeSt,SafetyStock,,,60.000-,188,12/17/21,9
1,743093505,62,12/15/21,7:17:56,12/16/21,ShipNt,0185534785/0007065187,12/15/21,10,120,248,12/17/21,9
1,743093505,0,12/14/21,7:17:54,12/14/21,SafeSt,SafetyStock,,,60.000-,134,12/16/21,9
1,743093505,129,12/14/21,7:17:54,12/16/21,SchAgr,0007065187/00001*,12/15/21,10,60,188,12/16/21,9
1,743093505,0,12/13/21,4:03:22,12/13/21,SafeSt,SafetyStock,,,60.000-,216,12/15/21,9
1,743093505,206,12/13/21,4:03:22,12/16/21,SchAgr,0007065187/00001*,12/15/21,10,60,193,12/15/21,9
1,743093505,0,01/06/22,7:18:03,1/6/22,SafeSt,SafetyStock,,,60.000-,487,1/8/22,9
1,743093505,46,01/06/22,7:18:03,1/7/22,ShipNt,0185575553/0007065187,1/10/22,15,120,563,1/8/22,9
1,743093505,0,12/28/21,7:17:51,12/28/21,SafeSt,SafetyStock,,,60.000-,118,12/30/21,9
1,743093505,10,12/28/21,7:17:51,1/4/22,SchAgr,0007065187/00001*,12/23/21,10,180,290,12/30/21,9
1,743093505,211,12/28/21,7:17:51,1/6/22,SchAgr,0007065187/00001*,1/7/22,15,120,391,12/30/21,9
1,743093505,279,12/28/21,7:17:51,1/7/22,SchAgr,0007065187/00001*,1/8/22,15,120,444,12/30/21,9
1,743093505,0,12/27/21,4:03:23,12/27/21,SafeSt,SafetyStock,,,60.000-,118,12/29/21,9
