material,plant,demand_date,mrp_element,change_quantity,total_quantity,storage_location,supplier_nr,planner,line_index
5A11EC4-03,MC10,09/01/21,Stock,0,0,,,120,1
5A11EC4-03,MC10,09/02/21,Stock,0,0,,,120,1
5A11EC4-03,MC10,09/03/21,Stock,0,0,,,120,1
5A11EC4-03,MC10,09/04/21,Stock,0,0,,,120,1
5A11EC4-03,MC10,09/05/21,Stock,0,0,,,120,1
5A11EC4-03,MC10,09/06/21,Stock,0,0,,,120,1
5A11EC4-03,MC10,09/07/21,Stock,0,0,,,120,1
5A11EC4-03,MC10,09/08/21,Stock,0,0,,,120,1
5A11EC4-03,MC10,09/09/21,Stock,0,0,,,120,1
5A11EC4-03,MC10,09/10/21,Stock,0,0,,,120,1
5A11EC4-03,MC10,09/11/21,Stock,0,0,,,120,1
5A11EC4-03,MC10,09/12/21,Stock,0,0,,,120,1
5A11EC4-03,MC10,09/13/21,Stock,0,0,,,120,1
5A11EC4-03,MC10,09/14/21,Stock,0,0,,,120,1
5A11EC4-03,MC10,09/15/21,Stock,0,0,,,120,1
5A11EC4-03,MC10,09/16/21,Stock,0,0,,,120,1
5A11EC4-03,MC10,09/17/21,Stock,0,0,,,120,1
5A11EC4-03,MC10,09/18/21,Stock,0,0,,,120,1
5A11EC4-03,MC10,09/19/21,Stock,0,0,,,120,1
5A11EC4-03,MC10,09/20/21,Stock,0,0,,,120,1
5A11EC4-03,MC10,09/21/21,Stock,0,0,,,120,1
5A11EC4-03,MC10,09/22/21,Stock,0,0,,,120,1
5A11EC4-03,MC10,09/23/21,Stock,0,0,,,120,1
5A11EC4-03,MC10,09/24/21,Stock,0,0,,,120,1
5A11EC4-03,MC10,09/25/21,Stock,0,0,,,120,1
5A11EC4-03,MC10,09/26/21,Stock,0,0,,,120,1
5A11EC4-03,MC10,09/27/21,Stock,0,0,,,120,1
5A11EC4-03,MC10,09/28/21,Stock,0,0,,,120,1
5A11EC4-03,MC10,09/29/21,Stock,0,0,,,120,1
5A11EC4-03,MC10,09/30/21,Stock,0,0,,,120,1
5A11EC4-03,MC10,10/01/21,Stock,0,0,,,120,1
5A11EC4-03,MC10,10/02/21,Stock,0,0,,,120,1
5A11EC4-03,MC10,10/03/21,Stock,0,0,,,120,1
5A11EC4-03,MC10,10/04/21,Stock,0,0,,,120,1
5A11EC4-03,MC10,10/05/21,Stock,0,0,,,120,1
5A11EC4-03,MC10,10/06/21,Stock,0,0,,,120,1
5A11EC4-03,MC10,10/07/21,Stock,0,0,,,120,1
5A11EC4-03,MC10,10/08/21,Stock,0,0,,,120,1
5A11EC4-03,MC10,10/09/21,Stock,0,0,,,120,1
5A11EC4-03,MC10,10/10/21,Stock,0,0,,,120,1
5A11EC4-03,MC10,10/11/21,Stock,0,0,,,120,1
5A11EC4-03,MC10,10/12/21,Stock,0,0,,,120,1
5A11EC4-03,MC10,10/13/21,Stock,0,0,,,120,1
5A11EC4-03,MC10,10/14/21,Stock,0,0,,,120,1
5A11EC4-03,MC10,10/15/21,Stock,0,0,,,120,1
5A11EC4-03,MC10,10/16/21,Stock,0,0,,,120,1
5A11EC4-03,MC10,10/17/21,Stock,0,0,,,120,1
5A11EC4-03,MC10,10/18/21,Stock,0,0,,,120,1
5A11EC4-03,MC10,10/19/21,Stock,0,0,,,120,1
5A11EC4-03,MC10,10/20/21,Stock,0,0,,,120,1
5A11EC4-03,MC10,10/21/21,Stock,0,0,,,120,1
5A11EC4-03,MC10,10/22/21,Stock,0,0,,,120,1
5A11EC4-03,MC10,10/23/21,Stock,0,0,,,530,1
5A11EC4-03,MC10,10/24/21,Stock,0,0,,,530,1
5A11EC4-03,MC10,10/25/21,Stock,0,0,,,530,1
5A11EC4-03,MC10,10/26/21,Stock,0,0,,,530,1
5A11EC4-03,MC10,10/26/21,----->,0,0,,,530,2
5A11EC4-03,MC10,10/26/21,----->,0,0,,,530,2
5A11EC4-03,MC10,10/26/21,----->,0,0,,,530,2
