material,plant,demand_date,mrp_element,change_quantity,total_quantity,storage_location,supplier_nr,planner,line_index
5A11ED1-02,MC10,07/06/21,Stock,0,0,,,120,1
5A11ED1-02,MC10,07/07/21,Stock,0,0,,,120,1
5A11ED1-02,MC10,07/08/21,Stock,0,0,,,120,1
5A11ED1-02,MC10,07/09/21,Stock,0,0,,,120,1
5A11ED1-02,MC10,07/10/21,Stock,0,0,,,120,1
5A11ED1-02,MC10,07/11/21,Stock,0,0,,,120,1
5A11ED1-02,MC10,07/12/21,Stock,0,0,,,120,1
5A11ED1-02,MC10,07/13/21,Stock,0,0,,,120,1
5A11ED1-02,MC10,07/14/21,Stock,0,0,,,120,1
5A11ED1-02,MC10,07/15/21,Stock,0,0,,,120,1
5A11ED1-02,MC10,07/16/21,Stock,0,0,,,120,1
5A11ED1-02,MC10,07/17/21,Stock,0,0,,,120,1
5A11ED1-02,MC10,07/18/21,Stock,0,0,,,120,1
5A11ED1-02,MC10,07/19/21,Stock,0,0,,,120,1
5A11ED1-02,MC10,07/20/21,Stock,0,0,,,120,1
5A11ED1-02,MC10,07/21/21,Stock,0,0,,,120,1
5A11ED1-02,MC10,07/22/21,Stock,0,0,,,120,1
5A11ED1-02,MC10,07/23/21,Stock,0,0,,,120,1
5A11ED1-02,MC10,07/24/21,Stock,0,0,,,120,1
5A11ED1-02,MC10,07/25/21,Stock,0,0,,,120,1
5A11ED1-02,MC10,07/26/21,Stock,0,0,,,120,1
5A11ED1-02,MC10,07/27/21,Stock,0,0,,,120,1
5A11ED1-02,MC10,07/28/21,Stock,0,0,,,120,1
5A11ED1-02,MC10,07/29/21,Stock,0,0,,,120,1
5A11ED1-02,MC10,07/30/21,Stock,0,0,,,120,1
5A11ED1-02,MC10,07/31/21,Stock,0,0,,,120,1
5A11ED1-02,MC10,08/01/21,Stock,0,0,,,120,1
5A11ED1-02,MC10,08/02/21,Stock,0,0,,,120,1
5A11ED1-02,MC10,08/03/21,Stock,0,0,,,120,1
5A11ED1-02,MC10,08/04/21,Stock,0,0,,,120,1
5A11ED1-02,MC10,08/05/21,Stock,0,0,,,120,1
5A11ED1-02,MC10,08/06/21,Stock,0,0,,,120,1
5A11ED1-02,MC10,08/07/21,Stock,0,0,,,120,1
5A11ED1-02,MC10,08/08/21,Stock,0,0,,,120,1
5A11ED1-02,MC10,08/09/21,Stock,0,0,,,120,1
5A11ED1-02,MC10,08/10/21,Stock,0,0,,,120,1
5A11ED1-02,MC10,08/11/21,Stock,0,0,,,120,1
5A11ED1-02,MC10,08/12/21,Stock,0,0,,,120,1
5A11ED1-02,MC10,08/13/21,Stock,0,0,,,120,1
5A11ED1-02,MC10,08/14/21,Stock,0,0,,,120,1
5A11ED1-02,MC10,08/15/21,Stock,0,0,,,120,1
5A11ED1-02,MC10,08/16/21,Stock,0,0,,,120,1
5A11ED1-02,MC10,08/17/21,Stock,0,0,,,120,1
5A11ED1-02,MC10,08/18/21,Stock,0,0,,,120,1
5A11ED1-02,MC10,08/19/21,Stock,0,0,,,120,1
5A11ED1-02,MC10,08/20/21,Stock,0,0,,,120,1
5A11ED1-02,MC10,08/21/21,Stock,0,0,,,120,1
5A11ED1-02,MC10,08/22/21,Stock,0,0,,,120,1
5A11ED1-02,MC10,08/23/21,Stock,0,0,,,120,1
5A11ED1-02,MC10,08/24/21,Stock,0,0,,,120,1
5A11ED1-02,MC10,08/25/21,Stock,0,0,,,120,1
