material,plant,demand_date,mrp_element,change_quantity,total_quantity,storage_location,supplier_nr,planner,line_index
7417886-07,MC10,05/11/21,DepReq,-1,958,PLT1,,114,3
7417886-07,MC10,05/20/21,Stock,1079,1079,,,114,1
7417886-07,MC10,05/20/21,SafeSt,-120,959,,,114,2
7417886-07,MC10,05/20/21,DepReq,-130,828,PLT1,,114,4
7417886-07,MC10,05/20/21,DepReq,-130,698,PLT1,,114,5
7417886-07,MC10,05/21/21,SchAgr,320,1018,,24446310,114,6
7417886-07,MC10,05/21/21,DepReq,-148,870,PLT1,,114,7
7417886-07,MC10,05/21/21,DepReq,-149,721,PLT1,,114,8
7417886-07,MC10,05/22/21,DepReq,-30,1150,PLT1,,114,3
7417886-07,MC10,05/22/21,DepReq,-31,1119,PLT1,,114,4
7417886-07,MC10,05/22/21,SchAgr,240,961,,24446310,114,9
7417886-07,MC10,05/22/21,DepReq,-121,840,PLT1,,114,10
7417886-07,MC10,05/22/21,DepReq,-122,718,PLT1,,114,11
7417886-07,MC10,05/23/21,Stock,1300,1300,,,114,1
7417886-07,MC10,05/23/21,SafeSt,-120,1180,,,114,2
7417886-07,MC10,05/24/21,DepReq,-155,964,PLT1,,114,5
7417886-07,MC10,05/24/21,DepReq,-155,809,PLT1,,114,6
7417886-07,MC10,05/24/21,----->,0,718,,,114,12
7417886-07,MC10,05/24/21,SchAgr,400,1118,,24446310,114,13
7417886-07,MC10,05/24/21,DepReq,-154,964,PLT1,,114,14
7417886-07,MC10,05/24/21,DepReq,-154,810,PLT1,,114,15
7417886-07,MC10,05/25/21,SchAgr,320,1129,,24446310,114,7
7417886-07,MC10,05/25/21,DepReq,-114,1015,PLT1,,114,8
7417886-07,MC10,05/25/21,DepReq,-115,900,PLT1,,114,9
7417886-07,MC10,05/25/21,SchAgr,320,1130,,24446310,114,16
7417886-07,MC10,05/25/21,DepReq,-114,1016,PLT1,,114,17
7417886-07,MC10,05/25/21,DepReq,-115,901,PLT1,,114,18
7417886-07,MC10,05/26/21,SchAgr,240,1140,,24446310,114,10
7417886-07,MC10,05/26/21,DepReq,-159,981,PLT1,,114,11
7417886-07,MC10,05/26/21,DepReq,-159,822,PLT1,,114,12
7417886-07,MC10,05/26/21,SchAgr,240,1141,,24446310,114,19
7417886-07,MC10,05/26/21,DepReq,-158,983,PLT1,,114,20
7417886-07,MC10,05/26/21,DepReq,-159,824,PLT1,,114,21
7417886-07,MC10,05/27/21,----->,0,822,,,114,13
7417886-07,MC10,05/27/21,SchAgr,240,1062,,24446310,114,14
7417886-07,MC10,05/27/21,DepReq,-184,878,PLT1,,114,15
7417886-07,MC10,05/27/21,DepReq,-184,694,PLT1,,114,16
7417886-07,MC10,05/27/21,SchAgr,240,1064,,24446310,114,22
7417886-07,MC10,05/27/21,DepReq,-184,880,PLT1,,114,23
7417886-07,MC10,05/27/21,DepReq,-185,695,PLT1,,114,24
7417886-07,MC10,05/28/21,SchAgr,320,1014,,24446310,114,17
7417886-07,MC10,05/28/21,DepReq,-155,859,PLT1,,114,18
7417886-07,MC10,05/28/21,DepReq,-155,704,PLT1,,114,19
7417886-07,MC10,05/28/21,SchAgr,320,1015,,24446310,114,25
7417886-07,MC10,05/28/21,DepReq,-155,860,PLT1,,114,26
7417886-07,MC10,05/28/21,DepReq,-156,704,PLT1,,114,27
7417886-07,MC10,05/29/21,SchAgr,320,1024,,24446310,114,20
7417886-07,MC10,05/29/21,DepReq,-133,891,PLT1,,114,21
7417886-07,MC10,05/29/21,DepReq,-134,757,PLT1,,114,22
7417886-07,MC10,05/29/21,SchAgr,320,1024,,24446310,114,28
7417886-07,MC10,05/29/21,DepReq,-133,891,PLT1,,114,29
7417886-07,MC10,05/29/21,DepReq,-134,757,PLT1,,114,30
7417886-07,MC10,06/01/21,SchAgr,400,1157,,24446310,114,23
7417886-07,MC10,06/01/21,DepReq,-99,1058,PLT1,,114,24
7417886-07,MC10,06/01/21,DepReq,-100,958,PLT1,,114,25
7417886-07,MC10,06/01/21,SchAgr,320,1077,,24446310,114,31
7417886-07,MC10,06/01/21,IndReq,-7,1070,,,114,32
7417886-07,MC10,06/01/21,DepReq,-100,901,PLT1,,114,33
7417886-07,MC10,06/01/21,DepReq,-93,877,PLT1,,114,34
7417886-07,MC10,06/02/21,SchAgr,320,1278,,24446310,114,26
7417886-07,MC10,06/02/21,DepReq,-180,1098,PLT1,,114,27
7417886-07,MC10,06/02/21,DepReq,-180,918,PLT1,,114,28
7417886-07,MC10,06/02/21,SchAgr,320,1197,,24446310,114,35
7417886-07,MC10,06/02/21,IndReq,-161,1036,,,114,36
7417886-07,MC10,06/02/21,IndReq,-163,873,,,114,37
7417886-07,MC10,06/02/21,DepReq,-1,872,PLT1,,114,38
7417886-07,MC10,06/03/21,SchAgr,240,1158,,24446310,114,29
