material,plant,demand_date,mrp_element,change_quantity,total_quantity,storage_location,supplier_nr,planner,line_index
8746967-10,MC10,01/21/21,SafeSt,-15,64,,,177,0
8746967-10,MC10,01/21/21,Stock,79,79,,,177,1
8746967-10,MC10,01/21/21,ShipNt,45,109,,18551914,177,2
8746967-10,MC10,01/21/21,DepReq,-1,108,PLT1,,177,3
8746967-10,MC10,01/21/21,DepReq,-1,107,PLT1,,177,4
8746967-10,MC10,01/21/21,DepReq,-1,106,PLT1,,177,5
8746967-10,MC10,01/21/21,DepReq,-1,105,PLT1,,177,6
8746967-10,MC10,01/21/21,DepReq,-1,104,PLT1,,177,7
8746967-10,MC10,01/21/21,DepReq,-1,103,PLT1,,177,8
8746967-10,MC10,01/21/21,DepReq,-1,102,PLT1,,177,9
8746967-10,MC10,01/21/21,DepReq,-1,101,PLT1,,177,10
8746967-10,MC10,01/21/21,DepReq,-1,100,PLT1,,177,11
8746967-10,MC10,01/22/21,DepReq,-1,99,PLT1,,177,12
8746967-10,MC10,01/22/21,DepReq,-1,98,PLT1,,177,13
8746967-10,MC10,01/22/21,DepReq,-1,97,PLT1,,177,14
8746967-10,MC10,01/22/21,DepReq,-1,96,PLT1,,177,15
8746967-10,MC10,01/22/21,DepReq,-1,95,PLT1,,177,16
8746967-10,MC10,01/22/21,DepReq,-1,94,PLT1,,177,17
8746967-10,MC10,01/22/21,DepReq,-1,93,PLT1,,177,18
8746967-10,MC10,01/22/21,DepReq,-1,92,PLT1,,177,19
8746967-10,MC10,01/22/21,DepReq,-1,91,PLT1,,177,20
8746967-10,MC10,01/22/21,DepReq,-1,90,PLT1,,177,21
8746967-10,MC10,01/22/21,DepReq,-1,89,PLT1,,177,22
8746967-10,MC10,01/22/21,DepReq,-1,88,PLT1,,177,23
8746967-10,MC10,01/22/21,DepReq,-1,87,PLT1,,177,24
8746967-10,MC10,01/23/21,DepReq,-1,86,PLT1,,177,25
8746967-10,MC10,01/23/21,DepReq,-1,85,PLT1,,177,26
8746967-10,MC10,01/23/21,DepReq,-1,84,PLT1,,177,27
8746967-10,MC10,01/23/21,DepReq,-1,83,PLT1,,177,28
8746967-10,MC10,01/23/21,DepReq,-1,82,PLT1,,177,29
8746967-10,MC10,01/23/21,DepReq,-1,81,PLT1,,177,30
8746967-10,MC10,01/23/21,DepReq,-1,80,PLT1,,177,31
8746967-10,MC10,01/23/21,DepReq,-1,79,PLT1,,177,32
8746967-10,MC10,01/23/21,DepReq,-1,78,PLT1,,177,33
8746967-10,MC10,01/23/21,DepReq,-1,77,PLT1,,177,34
8746967-10,MC10,01/23/21,DepReq,-1,76,PLT1,,177,35
8746967-10,MC10,01/23/21,DepReq,-1,75,PLT1,,177,36
8746967-10,MC10,01/23/21,DepReq,-1,74,PLT1,,177,37
8746967-10,MC10,01/23/21,DepReq,-1,73,PLT1,,177,38
8746967-10,MC10,01/23/21,DepReq,-1,72,PLT1,,177,39
8746967-10,MC10,01/23/21,DepReq,-1,71,PLT1,,177,40
8746967-10,MC10,01/25/21,SchAgr,45,116,,18551914,177,41
8746967-10,MC10,01/25/21,DepReq,-1,115,PLT1,,177,42
8746967-10,MC10,01/25/21,DepReq,-1,114,PLT1,,177,43
8746967-10,MC10,01/25/21,DepReq,-1,113,PLT1,,177,44
8746967-10,MC10,01/25/21,DepReq,-1,112,PLT1,,177,45
8746967-10,MC10,01/25/21,DepReq,-1,111,PLT1,,177,46
8746967-10,MC10,01/25/21,DepReq,-1,110,PLT1,,177,47
8746967-10,MC10,01/25/21,DepReq,-1,109,PLT1,,177,48
8746967-10,MC10,01/25/21,DepReq,-1,108,PLT1,,177,49
8746967-10,MC10,01/25/21,DepReq,-1,107,PLT1,,177,50
8746967-10,MC10,01/25/21,DepReq,-1,106,PLT1,,177,51
8746967-10,MC10,01/25/21,DepReq,-1,105,PLT1,,177,52
8746967-10,MC10,01/25/21,DepReq,-1,104,PLT1,,177,53
8746967-10,MC10,01/25/21,DepReq,-1,103,PLT1,,177,54
8746967-10,MC10,01/25/21,DepReq,-1,102,PLT1,,177,55
8746967-10,MC10,01/25/21,DepReq,-1,101,PLT1,,177,56
8746967-10,MC10,01/26/21,DepReq,-1,100,PLT1,,177,57
8746967-10,MC10,01/26/21,DepReq,-1,99,PLT1,,177,58
8746967-10,MC10,01/26/21,DepReq,-1,98,PLT1,,177,59
8746967-10,MC10,01/26/21,DepReq,-1,97,PLT1,,177,60
8746967-10,MC10,01/26/21,DepReq,-1,96,PLT1,,177,61
8746967-10,MC10,01/26/21,DepReq,-1,95,PLT1,,177,62
8746967-10,MC10,01/26/21,DepReq,-1,94,PLT1,,177,63
8746967-10,MC10,01/26/21,DepReq,-1,93,PLT1,,177,64
8746967-10,MC10,01/26/21,DepReq,-1,92,PLT1,,177,65
8746967-10,MC10,01/26/21,DepReq,-1,91,PLT1,,177,66
8746967-10,MC10,01/26/21,DepReq,-1,90,PLT1,,177,67
8746967-10,MC10,01/26/21,DepReq,-1,89,PLT1,,177,68
8746967-10,MC10,01/26/21,DepReq,-1,88,PLT1,,177,69
8746967-10,MC10,01/26/21,DepReq,-1,87,PLT1,,177,70
8746967-10,MC10,01/26/21,DepReq,-1,86,PLT1,,177,71
8746967-10,MC10,01/26/21,DepReq,-1,85,PLT1,,177,72
8746967-10,MC10,01/27/21,DepReq,-1,84,PLT1,,177,73
8746967-10,MC10,01/27/21,DepReq,-1,83,PLT1,,177,74
8746967-10,MC10,01/27/21,DepReq,-1,82,PLT1,,177,75
8746967-10,MC10,01/27/21,DepReq,-1,81,PLT1,,177,76
8746967-10,MC10,01/27/21,DepReq,-1,80,PLT1,,177,77
8746967-10,MC10,01/27/21,DepReq,-1,79,PLT1,,177,78
8746967-10,MC10,01/27/21,DepReq,-1,78,PLT1,,177,79
8746967-10,MC10,01/27/21,DepReq,-1,77,PLT1,,177,80
8746967-10,MC10,01/27/21,DepReq,-1,76,PLT1,,177,81
8746967-10,MC10,01/27/21,DepReq,-1,75,PLT1,,177,82
8746967-10,MC10,01/27/21,DepReq,-1,74,PLT1,,177,83
8746967-10,MC10,01/27/21,DepReq,-1,73,PLT1,,177,84
8746967-10,MC10,01/27/21,DepReq,-1,72,PLT1,,177,85
8746967-10,MC10,01/27/21,DepReq,-1,71,PLT1,,177,86
8746967-10,MC10,01/27/21,DepReq,-1,70,PLT1,,177,87
8746967-10,MC10,01/27/21,DepReq,-1,69,PLT1,,177,88
8746967-10,MC10,01/28/21,----->,0,0,,,177,0
8746967-10,MC10,01/28/21,SchAgr,36,105,,18551914,177,89
8746967-10,MC10,01/28/21,DepReq,-1,104,PLT1,,177,90
8746967-10,MC10,01/28/21,DepReq,-1,103,PLT1,,177,91
8746967-10,MC10,01/28/21,DepReq,-1,102,PLT1,,177,92
8746967-10,MC10,01/28/21,DepReq,-1,101,PLT1,,177,93
8746967-10,MC10,01/28/21,DepReq,-1,100,PLT1,,177,94
8746967-10,MC10,01/28/21,DepReq,-1,99,PLT1,,177,95
8746967-10,MC10,01/28/21,DepReq,-1,98,PLT1,,177,96
8746967-10,MC10,01/28/21,DepReq,-1,97,PLT1,,177,97
8746967-10,MC10,01/28/21,DepReq,-1,96,PLT1,,177,98
8746967-10,MC10,01/28/21,DepReq,-1,95,PLT1,,177,99
8746967-10,MC10,01/28/21,DepReq,-1,94,PLT1,,177,100
8746967-10,MC10,01/28/21,DepReq,-1,93,PLT1,,177,101
8746967-10,MC10,01/28/21,DepReq,-1,92,PLT1,,177,102
8746967-10,MC10,01/28/21,DepReq,-1,91,PLT1,,177,103
8746967-10,MC10,01/29/21,DepReq,-1,90,PLT1,,177,104
8746967-10,MC10,01/29/21,DepReq,-1,89,PLT1,,177,105
8746967-10,MC10,01/29/21,DepReq,-1,88,PLT1,,177,106
8746967-10,MC10,01/29/21,DepReq,-1,87,PLT1,,177,107
8746967-10,MC10,01/29/21,DepReq,-1,86,PLT1,,177,108
8746967-10,MC10,01/29/21,DepReq,-1,85,PLT1,,177,109
8746967-10,MC10,01/29/21,DepReq,-1,84,PLT1,,177,110
8746967-10,MC10,01/29/21,DepReq,-1,83,PLT1,,177,111
8746967-10,MC10,01/29/21,DepReq,-1,82,PLT1,,177,112
8746967-10,MC10,01/29/21,DepReq,-1,81,PLT1,,177,113
8746967-10,MC10,01/29/21,DepReq,-1,80,PLT1,,177,114
