"mandt","matnr","aline","cdate","ctime","dat00","delb0","extra","umdat","auskt","mng01","mng02","p_ingestday","p_ingesttime"
"001","000000000742065710","0000000000","2021-12-07","07:17:46","2021-12-07","SafeSt","SafetyStock",,,"42.000-","121.000","2021-12-09","09"
"001","000000000742065710","0000000000","2021-12-06","04:02:55","2021-12-06","SafeSt","SafetyStock",,,"42.000-","180.000","2021-12-08","09"
"001","000000000742065710","0000000096","2022-03-08","07:17:40","2022-03-09","SchAgr","0003514326/00001*","2022-03-08","10","84.000","323.000","2022-03-10","09"
"001","000000000742065710","0000000000","2022-02-22","07:18:07","2022-02-22","SafeSt","SafetyStock",,,"42.000-","138.000","2022-02-24","09"
"001","000000000742065710","0000000000","2022-02-21","04:03:03","2022-02-21","SafeSt","SafetyStock",,,"42.000-","354.000","2022-02-23","09"
"001","000000000742065710","0000000000","2022-02-10","07:17:46","2022-02-10","SafeSt","SafetyStock",,,"42.000-","389.000","2022-02-12","09"
"001","000000000742065710","0000000000","2022-01-18","07:17:58","2022-01-18","SafeSt","SafetyStock",,,"42.000-","356.000","2022-01-20","09"
"001","000000000742065710","0000000111","2022-01-18","07:17:58","2022-01-19","SchAgr","0003514326/00001*","2022-01-18","10","21.000","268.000","2022-01-20","09"
"001","000000000742065710","0000000362","2022-01-18","07:17:58","2022-01-21","SchAgr","0003514326/00001","2022-01-20","30","21.000","251.000","2022-01-20","09"
"001","000000000742065710","0000000000","2022-01-19","07:17:59","2022-01-19","SafeSt","SafetyStock",,,"42.000-","278.000","2022-01-21","09"
"001","000000000742065710","0000000000","2022-01-06","07:17:47","2022-01-06","SafeSt","SafetyStock",,,"42.000-","383.000","2022-01-08","09"
"001","000000000742065710","0000000000","2021-12-28","07:17:35","2021-12-28","SafeSt","SafetyStock",,,"42.000-","232.000","2021-12-30","09"
"001","000000000742065710","0000000000","2021-12-27","04:03:06","2021-12-27","SafeSt","SafetyStock",,,"42.000-","232.000","2021-12-29","09"
